run,model_load_s,segments,first_segment_s,avg_per_segment_s,total_generation_s,video_mb
dreamx_ar_clip,410.0,12,31.0,33.9,404.0,98.5
dreamx_ar_whole,145.0,1,278.0,,278.0,122.6
dreamx_cam_clip,764.0,12,182.0,170.3,2055.0,23.3
dreamx_cam_whole,729.0,1,9866.0,,9866.0,77.8
hy_ar_clip,2825.0,12,327.0,306.5,3698.0,10.4
hy_ar_distill_clip,1511.0,12,68.0,51.7,637.0,6.6
hy_ar_distill_whole,1511.0,1,822.0,,822.0,15.1
hy_ar_rl_clip,2825.0,12,327.0,307.5,3710.0,16.9
hy_ar_rl_whole,2825.0,1,4522.0,,4522.0,17.7
hy_ar_whole,2825.0,1,4516.0,,4516.0,30.9
hy_bi_clip,2828.0,12,486.0,472.7,5686.0,10.3
hy_bi_whole,2828.0,1,10427.0,,10427.0,23.2
infworld_clip,241.0,20,51.0,40.5,820.0,75.0
lingbot_large_clip,1661.0,20,125.0,117.4,2355.0,61.6
lingbot_large_whole,1330.0,1,3396.0,,3396.0,109.8
lingbot_small_clip,1106.0,20,43.0,31.3,637.0,80.5
lingbot_small_whole,105.0,1,387.0,,387.0,81.0
lingbot_v2_fast_clip,130.0,20,51.0,32.4,667.0,61.9
lingbot_v2_fast_whole,130.0,1,347.0,,347.0,85.4
mg3_efficiency_clip,790.0,26,34.0,22.5,597.0,57.9
mg3_quality_clip,650.0,26,249.0,230.1,6001.0,23.2
sana_wm_bidirectional_clip,2417.0,20,434.0,38.8,1172.0,21.7
sana_wm_bidirectional_whole,2417.0,1,910.0,,910.0,50.6
